URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/patient-enovacom-bridge,StructureDefinition/practitioner-enovacom-bridge","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/episodeofcare-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.666",EpisodeOfCareType,Episode of care type,"This example value set defines a set of codes that can be used to express the usage type of an EpisodeOfCare record.","StructureDefinition/episodeOfCare-enovacom-bridge","THO"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/appointment-enovacom-bridge,StructureDefinition/encounter-visit-enovacom-bridge","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/episodeOfCare-enovacom-bridge,StructureDefinition/patient-enovacom-bridge,StructureDefinition/appointment-enovacom-bridge,StructureDefinition/encounter-visit-enovacom-bridge,StructureDefinition/practitioner-enovacom-bridge","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/episodeOfCare-enovacom-bridge,StructureDefinition/patient-enovacom-bridge,StructureDefinition/appointment-enovacom-bridge,StructureDefinition/encounter-visit-enovacom-bridge,StructureDefinition/practitioner-enovacom-bridge","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/patient-enovacom-bridge","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/patient-enovacom-bridge","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/participantrequired,4.0.1,draft,"2.16.840.1.113883.4.642.3.488",ParticipantRequired,ParticipantRequired,"Is the Participant required to attend the appointment.","StructureDefinition/appointment-enovacom-bridge","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/participationstatus,4.0.1,draft,"2.16.840.1.113883.4.642.3.486",ParticipationStatus,ParticipationStatus,"The Participation status of an appointment.","StructureDefinition/appointment-enovacom-bridge","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/patient-enovacom-bridge","THO (V2)"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/episodeOfCare-enovacom-bridge,StructureDefinition/appointment-enovacom-bridge,StructureDefinition/encounter-visit-enovacom-bridge","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/security-labels,4.0.1,active,"2.16.840.1.113883.4.642.3.47",All Security Labels,SecurityLabels,"A single value set for all security labels defined by FHIR.","StructureDefinition/episodeOfCare-enovacom-bridge,StructureDefinition/patient-enovacom-bridge,StructureDefinition/appointment-enovacom-bridge,StructureDefinition/encounter-visit-enovacom-bridge,StructureDefinition/practitioner-enovacom-bridge",
http://hl7.org/fhir/ValueSet/service-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.516",ServiceCategory,Service category,"This value set defines an example set of codes that can be used to classify groupings of service-types/specialties.","StructureDefinition/appointment-enovacom-bridge","THO"
http://hl7.org/fhir/ValueSet/service-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.518",ServiceType,Service type,"This value set defines an example set of codes of service-types.","StructureDefinition/appointment-enovacom-bridge","THO"
http://terminology.hl7.org/ValueSet/v2-0092,3.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/encounter-visit-enovacom-bridge","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0276,3.0.0,active,"2.16.840.1.113883.21.181",Hl7VSAppointmentReasonCodes,hl7VS-appointmentReasonCodes,"Value Set of codes that describe the kind of appointment or the reason why an appointment has been scheduled.","StructureDefinition/appointment-enovacom-bridge","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/encounter-visit-enovacom-bridge","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/encounter-visit-enovacom-bridge","THO (V3)"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-encounter-discharge-disposition,2.1.0,active,,FRCoreValueSetEncounterDischargeDisposition,FR Core ValueSet Encounter discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital | Circonstances de sortie de l'hôpital.","StructureDefinition/encounter-visit-enovacom-bridge","hl7.fhir.fr.core,THO"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-encounter-identifier-type,2.1.0,active,,FRCoreValueSetEncounterIdentifierType,FR Core ValueSet Encounter identifier type,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose (Encounters).","StructureDefinition/encounter-visit-enovacom-bridge","hl7.fhir.fr.core"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-encounter-type,2.1.0,active,,FRCoreValueSetEncounterType,FR Core ValueSet Encounter type,"A coded type for an encounter | Jeu de valeurs des types de rencontre.","StructureDefinition/encounter-visit-enovacom-bridge","THO (V2),hl7.fhir.fr.core"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-location-physical-type,2.1.0,active,,FRCoreValueSetLocationPhysicalType,FR Core ValueSet Location physical type,"French location physical type | Types de lieux physiques pour la France","StructureDefinition/encounter-visit-enovacom-bridge","hl7.fhir.fr.core"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-marital-status,2.1.0,active,,FRCoreValueSetMaritalStatus,FR Core ValueSet Patient gender INS ValueSet,"Patient Gender for INS : male | female | unknown","StructureDefinition/patient-enovacom-bridge","THO (V3),hl7.fhir.fr.core"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-patient-contact-role,2.1.0,active,,FRCoreValueSetPatientContactRole,FR Core ValueSet Patient contact role,"ValueSet patient contact role","StructureDefinition/patient-enovacom-bridge","THO (V2),ans.fr.nos"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-patient-identifier-type,2.1.0,active,,FRCoreValueSetPatientIdentifierType,FR Core ValueSet Patient identifier type,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose (identification of a patient).","StructureDefinition/patient-enovacom-bridge","THO (V2),hl7.fhir.fr.core"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-practitioner-identifier-type,2.1.0,active,,FRCoreValueSetPractitionerIdentifierType,FR Core ValueSet Practitioner identifier type,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose (providers identification)","StructureDefinition/practitioner-enovacom-bridge","THO (V2),ans.fr.nos,hl7.fhir.fr.core"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-practitioner-specialty,2.1.0,active,,FRCoreValueSetPractitionerSpecialty,FR Core ValueSet Practitioner specialty,"The modalities of exercice of the practitioner, registered by an official organization for a period of time.","StructureDefinition/appointment-enovacom-bridge","ans.fr.nos"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-relation-type,2.1.0,active,,FRCoreValueSetPatientRelationType,FR Core ValueSet relation type,"ValueSet relation type","StructureDefinition/patient-enovacom-bridge","ans.fr.nos"
https://mos.esante.gouv.fr/NOS/JDV_J105-EnsembleDiplome-RASS/FHIR/JDV-J105-EnsembleDiplome-RASS,1.3.0,active,"1.2.250.1.213.1.6.1.173",JDV_J105-EnsembleDiplome-RASS,,"Ensemble des diplômes et qualifications du RASS","StructureDefinition/practitioner-enovacom-bridge","ans.fr.nos"
